"Gene.name"	"Row.names"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"11VG"	"37VG"	"38VG"	"50VG"	"54VG"	"55-VG"	"12MII"	"13-MII"	"16MII"	"17-MII"	"53MII"	"7-MII"	"85-MII"
"BOLL"	"ENSG00000152430"	1.026166	-1.052681	0.4712382	0.4997475	0.7224754	-1.766205	-1.335987	0.8328798	0.01386295	-3.872912	-2.441939	-3.39736	-1.152927	-1.754202	0.4668219	-3.872912	-3.872912	-3.872912
"LIMS4"	"ENSG00000256671"	0.7659628	0.166288	0.4712148	0.4997581	0.7224754	-1.813087	-2.69735	2.225278	0.1104247	-0.6025137	0.6768589	0.8551809	-3.872912	-0.2026879	0.3882315	-0.4938756	0.07013436	-2.568551
"MAB21L1"	"ENSG00000180660"	-0.8974955	1.609214	0.4706994	0.4999902	0.722745	0.2815206	1.886283	1.007865	0.7620868	-1.189299	1.76651	1.609023	3.603514	1.453509	3.09782	-3.872912	-3.872912	-3.872912
"TMEM231"	"ENSG00000205084"	-0.4410408	5.102811	0.4704706	0.5000933	0.7228281	5.347393	4.923389	3.802752	5.343826	4.920536	4.061808	4.144643	5.181041	5.221022	5.522959	4.702937	-1.368727	6.77525
"TIGD1"	"ENSG00000221944"	-0.3817636	3.008579	0.470036	0.5001883	0.7228611	2.107499	1.974162	4.264324	2.19611	2.76654	2.773991	4.158029	3.402512	2.898752	2.561791	3.802767	0.9375402	3.538085
"DSCAM"	"ENSG00000171587"	0.6140466	2.547767	0.4702176	0.5002073	0.7228611	1.977072	1.944111	1.975272	2.160147	1.829062	3.841521	1.821856	0.7014527	2.152142	3.050509	3.012303	-3.872912	-3.253372
"STEAP1"	"ENSG00000164647"	-0.7950552	1.385641	0.4700874	0.500266	0.72288	-0.1102568	-0.8177858	2.424512	-1.393995	1.360933	1.793282	3.234333	2.513207	-0.4172533	-2.055276	-3.212759	3.356214	-3.872912
"PLEKHH2"	"ENSG00000152527"	-0.6651024	1.131963	0.469602	0.500485	0.7230343	0.1306812	-0.8548827	2.638742	0.193163	-0.3113699	0.2229004	1.827363	-0.7065423	-0.5280926	-0.5797795	3.620664	0.4512452	-0.2309806
"AKAP10"	"ENSG00000108599"	0.5074699	3.465494	0.4695129	0.5005252	0.7230343	3.038761	3.402717	3.518832	3.118951	4.498926	4.013269	3.002891	2.903355	2.830935	3.864778	2.783046	4.307834	-3.872912
"WTIP"	"ENSG00000142279"	0.4233634	1.29027	0.4692611	0.5005381	0.7230343	1.734204	1.724132	3.049529	0.7676464	0.3933331	1.085146	1.676372	-0.1604401	1.479167	0.8349116	1.356565	1.972932	1.266014
"FAM9C"	"ENSG00000187268"	0.4713073	2.429365	0.4692232	0.5005552	0.7230343	1.684047	1.856792	1.540835	1.954897	2.222492	3.75626	-1.059552	2.741188	1.902924	3.113185	1.713573	1.463794	0.401285
"MYO1H"	"ENSG00000174527"	0.5372743	5.18708	0.4692806	0.5006301	0.7230766	5.43595	5.948456	4.659918	5.853894	5.141047	4.465066	3.431243	5.382024	5.550772	4.54885	6.118041	2.398795	-3.872912
""	"ENSG00000287542"	-0.6033074	3.932127	0.4688762	0.5008127	0.7232225	0.7291908	-0.4385442	-0.9044859	-0.8621491	-1.563778	-0.7455977	1.094086	-0.51542	-3.872912	-3.872912	-3.872912	-3.872912	-3.872912
